     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10000,        50,         0,    35.2,tesseract,ac90b31adc1b1a76203ec1e0b3c366483abb703c906f35d27df534b99b8e5254,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":4}",
     10000,       477,         0,   209.9,tesseract,01624fb111daee7018bda831454cd7bb23b2a50fa1f9bd983ed335fa7ce28d99,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":4}",
     10000,         1,         0,    68.5,tesseract,932a730b2772ffc63c019beff452f325f8673465681f0970cfb1590791bf96a4,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":6}",
     10000,       139,         0,   451.9,tesseract,cd24367c6a968528cbaa19c64fd58586c4e80c64dd2adf3cb8fb12a6c3e42e54,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":6}",
      1910,      1000,         0,  1436.5,tesseract,33228639f6991fd0b2b7bb622f1baec82ba53a533c9ad8466655f193d77d3761,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.004045758916974429,""rounds"":6}",
      2045,      1000,         0,   538.4,tesseract,e42056c00f7fa4708f5f626eafa32e422043248f46e14c7b5a80ea3734a0b4cd,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.004045758916974429,""rounds"":4}",
     10000,         1,         0,   109.5,tesseract,b94b8df9722838e0006b87998536f997fd228b80404baa13696a78f381b8da7b,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":6}",
      1003,      1000,         0,  1121.3,tesseract,d2c9726ee7005ca7a8630627fb165c51272b215a99476d73265ffa22b8f44e08,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.009088662990655878,""rounds"":4}",
     10000,       205,         0,   786.7,tesseract,689bf741a03fa04df2b9c0efc76bfe7a121776df8ccacefebd25cb2fbbe99836,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":6}",
      1522,      1000,         0,  2320.8,tesseract,9d4aa1a6134373a5920346186f3a7b077dff34e0db023303682e4a8d9a4858bc,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.004045758916974429,""rounds"":6}",
      1000,      1000,         0,   773.6,tesseract,450c4b35b065ebded1051bba6ee7994d64065cc6dcbd4192ffac610bdb05ab16,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":4}",
