     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10000,        16,         0,    13.8,tesseract,b2ce59f25e581d2aea8d11a2f049a6b543c35eee21a94c4e728ebdabdc012770,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":4}",
     10000,       111,         0,    36.8,tesseract,566759c467f8220ef144f5c539a90cd979dc26d82dadd41ba4c37e8bb4073b25,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":4}",
     10000,      1144,         0,   213.0,tesseract,40d2cd62006ff5f137c5a0c7ef7f8857cf192c2c3183b859ead04c6f6026ccf8,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.004045758916974429,""rounds"":4}",
     10000,        11,         0,    67.3,tesseract,f57d71cba9ae56260e1f4772c14aa16f25ce9a9d350e6d2a9bb4e840eefe70de,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":6}",
     10000,       529,         0,   461.3,tesseract,bc1a53e5e80400cb564f8b01a952ac5211504d46da8c84f7f5e369345eaabe43,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.004045758916974429,""rounds"":6}",
     10000,      6763,         0,  1704.3,tesseract,013801e33980d9a9286fd20815de2f9a1f4effa47acfa73fac524fd8d26655e8,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.009088662990655878,""rounds"":4}",
     10000,         1,         0,    23.0,tesseract,fbc050636bec4eed9f1530151ac06423aac4272703f018caaed8c5d8e6500efa,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":6}",
     10000,         0,         0,    39.3,tesseract,6990b0c56e565ef4b50ea68f3b311895abf51e20142595f67831e746c730109b,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":6}",
     10000,        22,         0,   117.8,tesseract,90f649cc269662961b7b3e90b38c747bebbf256e0dfd13e8250feaed97fd2144,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":6}",
     10000,      9992,         0,  3175.2,tesseract,549e123309a76fdd90bcff6b9c07a3aabe427a0ba17865c0ed0e43d92dac5a07,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":4}",
     10000,       641,         0,   910.5,tesseract,ab56da92c50b131f2148e0c2291c34d47af4bea8e94554ec36032fe7b50c5f5f,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.004045758916974429,""rounds"":6}",
     10000,      7465,         0,  4315.5,tesseract,5842c6526ca7d51de7cc243bb85735e27403b99a770c2206cc246681c1ea9d72,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.009088662990655878,""rounds"":6}",
     10000,         0,         0,    47.2,tesseract,1a1b17eb208a5369cbd981649a959c58bfe527711b3108b3d400c9f4eb711b1d,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":8}",
     10000,      9995,         0,  6542.4,tesseract,da3a9ff2067e2197308f523900d18821e43e32bfa30204240438592f55746d76,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
     10000,     10000,         0, 14441.6,tesseract,5421fee03cdcf7ab9a058b199422c41cacba5af971fa66f4238655eab5812a5c,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
