     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2449,       101,         0,    25.0,tesseract,5a6415d19ec15c9466b5cc1aa5ee05c41291874fb5831e98efe85e74ad459a63,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":0.002754228703338169,""rounds"":4}",
   1000000,        41,         0,   262.9,tesseract,90ccc122cb1f09f48e86d116fdc314c981cd8fa4d8483e5f24c7087aae778ac4,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":0.00013645831365889253,""rounds"":4}",
    332049,       100,         0,   241.6,tesseract,dbc8d078536b94f4547a31d8046e38ea44160c1a8f5bfce105ab4108e0daafe2,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":0.0003715352290971728,""rounds"":4}",
       195,       102,         0,    23.2,tesseract,10383290e48aacd6901560e697afec429da45d17734b3e799d247135cfe5df7c,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":0.007498942093324558,""rounds"":4}",
   1000000,         7,         0,    98.2,tesseract,4cbe5b63fe3b4978f709df5f296a88a005374c62276c4af1940e87c8b8a30735,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":5.011872336272725e-05,""rounds"":4}",
     30737,       101,         0,    66.3,tesseract,290b91da80f036c48747f098a47190497fa1c038f4cf0cec5472e337f576ad41,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":0.0010115794542598982,""rounds"":4}",
   1000000,         5,         0,   149.8,tesseract,a3c542f005c5ba05332953a5f06183370d86e07c82c4e87a6be8daea0afc3198,"{""circidx"":2,""circuit"":""SD"",""decoder"":""tesseract"",""p"":5.011872336272725e-05,""rounds"":4}",
    642116,       104,         0,   631.1,tesseract,142033bebeac6509df59411e5552e006f3fab4d0ad2779ba2a0ab8f8f9d983da,"{""circidx"":1,""circuit"":""Loop"",""decoder"":""tesseract"",""p"":0.0003715352290971728,""rounds"":4}",
   1000000,        31,         0,   355.0,tesseract,3cc4e4e9a8979ff9f0fd9a3b5d952848bb363be9f28db348a05f43703b8a25a6,"{""circidx"":1,""circuit"":""Loop"",""decoder"":""tesseract"",""p"":0.00013645831365889253,""rounds"":4}",
     46353,       100,         0,   140.3,tesseract,b62a3a55790e96703d052825d5ef44ec496b3f0540dc5c712ea3c429059dcef9,"{""circidx"":1,""circuit"":""Loop"",""decoder"":""tesseract"",""p"":0.0010115794542598982,""rounds"":4}",
   1000000,         3,         0,   131.4,tesseract,6733bdda911a2ee3f8b570939825ba4a4d2f8d48e4ae36adf5ed41f013c7a502,"{""circidx"":1,""circuit"":""Loop"",""decoder"":""tesseract"",""p"":5.011872336272725e-05,""rounds"":4}",
      4197,       100,         0,    72.1,tesseract,f94b2ca75d64c075100a4a1f449db76f0fcda41ba5c661a203261a419a1455f5,"{""circidx"":1,""circuit"":""Loop"",""decoder"":""tesseract"",""p"":0.002754228703338169,""rounds"":4}",
       100,       100,         0,    37.6,tesseract,25f608e50eff4267d814e2bd2af501a766b0a3dbe419e42ffed5131e4e49a4dc,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":4}",
       238,       100,         0,    88.6,tesseract,81964ccc8deaf10987eb96ddb69691e605b5574c82498f48cdfddf93c17d575a,"{""circidx"":1,""circuit"":""Loop"",""decoder"":""tesseract"",""p"":0.007498942093324558,""rounds"":4}",
       100,       100,         0,    92.1,tesseract,a96ebc295100503f06b34b9b0c2b679ae92c683476873de17dcc10173ae910f1,"{""circidx"":1,""circuit"":""Loop"",""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":4}",
   1000000,        28,         0,   405.3,tesseract,50a49ea617fc1ae762129465bb44aa063038b27d67d2972d1b6d02c2e0ef3c04,"{""circidx"":2,""circuit"":""SD"",""decoder"":""tesseract"",""p"":0.00013645831365889253,""rounds"":4}",
    338210,       109,         0,   382.5,tesseract,facf967f21fdfa0474132b5583906829a711d1b622dfd60c22f2576b4103b97b,"{""circidx"":2,""circuit"":""SD"",""decoder"":""tesseract"",""p"":0.0003715352290971728,""rounds"":4}",
     34449,       100,         0,   121.3,tesseract,e27ecfc01086d3fe8c735fe0e7649e7ff2a9be6a282652af41a7a423b4e1a25c,"{""circidx"":2,""circuit"":""SD"",""decoder"":""tesseract"",""p"":0.0010115794542598982,""rounds"":4}",
      2369,       100,         0,    53.4,tesseract,9a68f53a0f7077108f1ecda02940ed252c728a44391dc0c07c68e0f02c40727a,"{""circidx"":2,""circuit"":""SD"",""decoder"":""tesseract"",""p"":0.002754228703338169,""rounds"":4}",
       192,       100,         0,    67.2,tesseract,193a4248f269dbf6d5663bfcc3d78a7917932ef8fd2f18676f1524085cd43d1f,"{""circidx"":2,""circuit"":""SD"",""decoder"":""tesseract"",""p"":0.007498942093324558,""rounds"":4}",
       100,       100,         0,    81.9,tesseract,b3204f2f7142a2c1fc1179b1128ba8966dcfda218490b4c1608aa0a577003f7b,"{""circidx"":2,""circuit"":""SD"",""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":4}",
   1000000,         4,         0,   161.4,tesseract,d2d03d94025146817b81d7739a2f16fd4b9114ddcfef40da31463c0b4c3b5ec5,"{""circidx"":3,""circuit"":""CSS-FT$_6$"",""decoder"":""tesseract"",""p"":5.011872336272725e-05,""rounds"":4}",
   1000000,        28,         0,   429.0,tesseract,fbc5d4e2653c12448479a94799f43603efd9e6ff00d9cbcb9be099a4a648de64,"{""circidx"":3,""circuit"":""CSS-FT$_6$"",""decoder"":""tesseract"",""p"":0.00013645831365889253,""rounds"":4}",
    501512,       112,         0,   600.9,tesseract,1682a2b6fe2745e3b261223dd8dadf353236b897c48b28774fd6f15f36aa6e79,"{""circidx"":3,""circuit"":""CSS-FT$_6$"",""decoder"":""tesseract"",""p"":0.0003715352290971728,""rounds"":4}",
     39889,       100,         0,   165.2,tesseract,99443f8a8c9c3f9f899bd0436165512d59fd540ce17f9d4a5f4bd5326d42421f,"{""circidx"":3,""circuit"":""CSS-FT$_6$"",""decoder"":""tesseract"",""p"":0.0010115794542598982,""rounds"":4}",
      1925,       100,         0,    80.2,tesseract,a14a4c79bb1d49d8fb6dc0d9c415b5991f4a6d03715b5596dcf49a4cdac67dcc,"{""circidx"":3,""circuit"":""CSS-FT$_6$"",""decoder"":""tesseract"",""p"":0.002754228703338169,""rounds"":4}",
