     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1553,       104,         0,    20.6,tesseract,7aa1d6826566ef9f67e0767c0fd3753d15837079ae2218372b460b800369ced3,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":4}",
      8913,       101,         0,    37.1,tesseract,32dd7e9aa1a68cb606fc34e8b1c07e0d542e74120c15d7dffdac0d0d1b82e926,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":4}",
     42513,       100,         0,    82.0,tesseract,dd3031a609ea42655c93e841153a8bb8c0f5144f0f32998981af8fcd51c3f250,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":4}",
    168209,       101,         0,   168.8,tesseract,66a1bddbdc261f79403d50233e2b87367c71979048e9653fe7d5b3e650c55448,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":4}",
   2000001,        26,         0,  3376.5,tesseract,8aa4e72888493a59d863e28eb3a856157159ac5b5548e3cbc7bd35d70c1f3dc4,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":6}",
      5233,       100,         0,   155.2,tesseract,5be7385b1cf90e9db1248787ce04ef8803335b1eb716bf08263440f33ed0f30b,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":6}",
     80273,       100,         0,   608.8,tesseract,2480f6f43a6cfbedcc92cef7760c44fa6e4f49bed5747292e8d303f24ac9bcfe,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":6}",
   1243273,       100,         0,  4161.2,tesseract,100235fbec544415ab7437113240f9ac7e49db0e657a068e769e186d993df483,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":6}",
       425,       100,         0,    74.9,tesseract,6a8eeaec094837576dd715599ec5dfa2fe4b6fbed063d10ec912ebec460afce7,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":6}",
       102,       101,         0,    40.4,tesseract,549e123309a76fdd90bcff6b9c07a3aabe427a0ba17865c0ed0e43d92dac5a07,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":4}",
       115,       101,         0,    32.5,tesseract,321910d9aa49d09c642e018c465dadd99d5f4642b190eb385dd6c01a2e9956bb,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":4}",
       323,       102,         0,    22.9,tesseract,347a88f95469b57a069cbccb5e540d86c6ce9fc267126b504c7116b531dc4bc6,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":4}",
       101,       100,         0,    79.5,tesseract,da3a9ff2067e2197308f523900d18821e43e32bfa30204240438592f55746d76,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
   2000001,        38,         0,  5746.0,tesseract,182e23918cbc167a9e7c60f9c1f378908d3f4228151c474c956aa2604d7d883f,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":6}",
       108,       100,         0,    72.8,tesseract,ab29e699054b8b2e2fe66a97f7c39e0b6323bb4331060b46e29ca51f9473b79c,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":6}",
    696977,       100,         0,  3981.4,tesseract,8a866afb41b9af988c1d5a8b47672a36eced189624fcf1d08a80c9332ef6a8fc,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":6}",
     69361,       100,         0,   923.8,tesseract,5a1d25674f3981a56cccd09f5d097676e806fcc39d3c33d061a1cae2118defb0,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":6}",
      4365,       100,         0,   236.8,tesseract,09f696781889df6c44444301593ab36548c8e383907b488f07fafa8d5b404be6,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":6}",
       299,       100,         0,   138.1,tesseract,d66b78b0c548a07f0a1aa0c51009250e7bd84622a5665b4863511d3b3434cbc5,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":6}",
       106,       100,         0,   170.7,tesseract,da4681f71a05220563ba6bc3b1ce94a02f4830913d8dde86040afc56c8206798,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":6}",
       100,       100,         0,   175.8,tesseract,5421fee03cdcf7ab9a058b199422c41cacba5af971fa66f4238655eab5812a5c,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
   2000001,         8,         0,  6908.0,tesseract,bcef958c703114c49aced77ad0f3ebaec313eb976d8cbae50d4c2339426ea660,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":8}",
   1554082,       101,         0, 10777.2,tesseract,99b076bd34f0041ca813946b09483d84ddec3c026d468b0f6f67e1345a724eca,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":8}",
     74769,       100,         0,  1209.5,tesseract,b53d7aeedbcfd1e1878dda66c7c08876bff467c56e0e8d9b118d1075b4def2bd,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":8}",
      3317,       100,         0,   230.9,tesseract,6afd557981c7406e3548b9c99b3a3d065b77381f20342c78f396cd2d131ee16e,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":8}",
       198,       100,         0,   153.9,tesseract,e6b6e05ccbb304c00ac5202c0ff846d8fd0c52bd851a67d0c253527c9abcc512,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":8}",
       106,       100,         0,   228.2,tesseract,2a8ee8038579cd03862c03fc04d68dbd063fcfcddd7e8aca03745047fdc17b38,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":8}",
       100,       100,         0,   193.9,tesseract,416dfcab2c176ee99f7b0ec9f20be825be3bcdf471f34ac2e52aa5781cf721ae,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":8}",
   2000001,         6,         0,  9829.5,tesseract,8ac1593138b1ff8f8a7a5a93f8d9a476e34c1c874a14cfedba1d98829e6e481b,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":6}",
   1444834,       101,         0, 14415.1,tesseract,2ef24a9e98ab8d99e7c3d47d4c1efd880bdbce048864655a21a1983a280d9e1f,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":6}",
     70817,       100,         0,  1660.9,tesseract,5733d2ed7f57c4ef3c7d6db3bacd82b88833a05381ee368f559318371530ee31,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":6}",
      3761,       100,         0,   400.9,tesseract,05e75705e450610523dc07379f70a8b0dcf87416aa879883624c70d093b3255d,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":6}",
       241,       100,         0,   272.6,tesseract,a636a1c6a1b99e54dee0fdc0094d5582c9f1d1d0f0e46f9d6be4c4f5daf4c73f,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":6}",
       101,       100,         0,   389.9,tesseract,b3caba6356eaf336b4d950de426d8f9962c5f9bbbd383ebd16ff819bdf5ccb1e,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":6}",
       100,       100,         0,   321.1,tesseract,802df067e2aab84c81a6750e99a8362ce548d827d232688670d98121dab97289,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
   2000001,         5,         0, 13740.1,tesseract,b4046201c56a14a3336e3adde0a47a0116a84ad9721c77eb264812e0548f9029,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":8}",
   2000001,        67,         0, 28232.3,tesseract,af82bcdc1bfa981cb67bf18ae990075096d80d2d88a6d526754f2ab71033e0e7,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":8}",
    117769,       100,         0,  3922.4,tesseract,bf5cad015d45250a2b53aa29726be8a3c11bd65283078c7853bcd4fbca1d195b,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":8}",
      3523,       100,         0,   570.5,tesseract,2e768397e439da080f36d11d403381ac8687bb3d7e75561f2847a3c9b0a3ce7d,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":8}",
       191,       100,         0,   376.9,tesseract,a1e806546ce029d9eca83bd79b6a449cea417e58f85df79ab916031a3b87d35e,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":8}",
       100,       100,         0,   413.6,tesseract,3a3f771ef0ae0f4136942eb6c8b9386f9821423c8827905612b9613514426109,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":8}",
       100,       100,         0,   322.3,tesseract,5e14ffc4bcfcb77e4d7bb389029223c7ab0417db1e3b590bb3b09b26326d5c9a,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":8}",
   2000001,         0,         0, 17672.7,tesseract,37dfc8a07b1cc6b97c9078738e56a871941152d78cf109b2572b826f0fabe15c,"{""code"":""$[[85,8,9]]$"",""codeidx"":6,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":9}",
   2000001,         6,         0, 36348.5,tesseract,5c4cda7010f8a2341e3e038ec77422626314a74945529e793bfb84f2614c72d8,"{""code"":""$[[85,8,9]]$"",""codeidx"":6,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":9}",
