     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     50193,       100,         0,   184.2,tesseract,a6ed0a2609e7e9e1a340706ffc210831511c5d5549157d765365f2ededab2b51,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":4}",
    233489,       100,         0,   403.8,tesseract,f9c75a64570cbcfd417b9df06f9e2a0e31923264f11ffa1e0b84bd454a65db5f,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":4}",
     10097,       100,         0,   106.0,tesseract,ef0bf5be2f02d9433642554b3b39ac4e1468cb9afdec20eaf9abcdb4b21a04de,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":4}",
      1577,       100,         0,    99.3,tesseract,cfabc10926529a82f5068860284a5981b4698a05e6c0def3b0b8e01c55a41294,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":4}",
   2000001,         8,         0,  6663.6,tesseract,fec2b68faef6fba2ba526b06fb4205354ef6cfce72ad988bbceeb74aef997dfa,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":6}",
     94625,       100,         0,  2092.4,tesseract,549181b3e11673be70ad1ff394b1a9b0a3528ed81ee9c8a4509dc9438486c655,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":6}",
      3780,       100,         0,   582.3,tesseract,580affb75380abb832e195a62fa5a5cd335c3a68684a1ab878024c4a23e99f35,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":6}",
   1813474,       100,         0, 13115.9,tesseract,18f94e55a965f3fe0a20c86fb8d0fc0aa96cb4b80d99f1ffcc3942a9f9a4b425,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":6}",
   2000001,        15,         0, 10899.9,tesseract,04ec0869b2ba122b0df82955e3eb371b3082742c686085c43f42c4827f060c67,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":6}",
       105,       100,         0,   213.2,tesseract,da28d7297c9fa9f634c2f45109dc8c2bf8072a9308498e99e18bb44a80fefe6c,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":4}",
       212,       102,         0,   128.5,tesseract,0c8deb595ed0f27bcb033b52ba76f44c471e502b4c26c881860873e19829c85f,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":4}",
       100,       100,         0,   202.7,tesseract,7d6b9eb1bed7e358cd78308199b0683ff7e25ea470808ba264dd7fd838afd05f,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":4}",
       100,       100,         0,   210.2,tesseract,b8bb90e00fd8905c74175271965b163bfd2cba2c515949b140e1fe5c0d4c78a9,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
       202,       100,         0,   308.9,tesseract,2797ea51bb0e3049434ef464f6af2b4b29fb7f5b41e0d35c85079003ab2bd508,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":6}",
       100,       100,         0,   256.5,tesseract,945df6308171b6c1045e46d978bc075e9584df774af7dfed23b262f280ad1af1,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":6}",
   1066321,       100,         0, 12924.4,tesseract,6d9f0455efc9f54094f567b2746217b1f26856a242e56f7c5e7cc54693cdd582,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":6}",
     53637,       100,         0,  2032.3,tesseract,6bbde219bead97975ffdc7056e7f9ef58240307ef3195373a60bf1c902ef2eef,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":6}",
      2406,       100,         0,   743.2,tesseract,7678633b1baaad6fd4d9b4dbe05872f88d2212131a641f3d495ad0f609449e00,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":6}",
       156,       100,         0,   398.2,tesseract,c981dab34f3519d0f1f08f19b2745320bf923fa16c3e463a8064bae119c46b7d,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":6}",
       100,       100,         0,   310.5,tesseract,66d94e4785d9a04b7f81d28a31e6abc7da45ca5e20f2516f86ec89f2bed79dc9,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":6}",
       100,       100,         0,   240.8,tesseract,7971c2c9a288524dfe9783daa2b5e645255747a7ac253df90820ec1045e9ff0f,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
   2000001,         6,         0, 13598.1,tesseract,612e0cac50056e307eaf6d18c1c039adbed7c90b520a3abfe7fc5d6204159729,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":8}",
    915618,       101,         0, 13858.9,tesseract,ff494e665e3ac406f10171335181d9002d256216154786a813af23784f0268aa,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":8}",
     33797,       100,         0,  1682.2,tesseract,3da95c9b0aa5618fb015051b680e35606317f62938cf975ebd5d2091349053b0,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":8}",
      1578,       100,         0,   611.8,tesseract,d92b5d27f5c45bc52912b20497983a2afe67c82ffeffe4bc16e0105aa1c594f5,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":8}",
       124,       100,         0,   384.8,tesseract,54669a58d0b492a238b91057090224833cb02f25af2582b7ddcfe41a1b9c826a,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":8}",
       101,       100,         0,   298.3,tesseract,96795822c4c627a6dcfc2bde9dc5b8b576032f8139fc3e40ee8668066d676a1a,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":8}",
   2000001,        12,         0, 17951.8,tesseract,8b6b28e2e208c22799388500b354e5fd484076d495104f2326b4be96d5b17d1f,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":6}",
       100,       100,         0,   222.8,tesseract,f701da82b5e06ab1c1a29e0ecfeaafd00eca14d0175c9d806345be2723aab433,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":8}",
    896770,       100,         0, 18341.4,tesseract,9c7176dae6a0b3b46a8d35ee543e65901566afcf3cd7b2c75b2b990177357d31,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":6}",
     37445,       101,         0,  2600.9,tesseract,1f789eb884977b9684cc63981436d27d2f7569fcc579544f911c4dd684f5c492,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":6}",
      1217,       100,         0,   768.5,tesseract,60394dd8fb02d459b112aafb73f3a61b0ca7a9f48aa747f60848e5723563e9fd,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":6}",
       113,       100,         0,   475.9,tesseract,a329b4bcef7afc6510bb0e70cfe5057615f512cb505442990429c7fe8a821efd,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":6}",
       100,       100,         0,   357.1,tesseract,d766771755b36021db697d4ff4a49019be997756c91035b339a13b843a141b15,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":6}",
       100,       100,         0,   285.6,tesseract,682fa173bfa8e43e1df222c2d121ecf74b8df1eabd5df21c537099ac5f957397,"{""code"":""$[[72,12,6]]$"",""codeidx"":4,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
   2000001,        10,         0, 24227.9,tesseract,71b0c792ffe737e091536626ff2bd7ebbf26d3ae4baa6366811a4e85e453aaaf,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":8}",
   1599668,       100,         0, 44232.8,tesseract,9312407992fa83abbd164f61ac082683bbf9968e6934645869a810ca37de4486,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":8}",
     44875,       100,         0,  4298.3,tesseract,48b8868036e165dc701462e65236207392cc5f3f80255d063599483f415b3350,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":8}",
      1045,       100,         0,   957.3,tesseract,8e12b0acbfac091e89bcf21951951be1330b829c726fbbede9756b46d77abfe7,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":8}",
       104,       100,         0,   492.2,tesseract,f2b85958186f074cd9359f31d84794453c4af4475c51844a6d71a427d8cec8cd,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":8}",
       100,       100,         0,   385.7,tesseract,2fd07c253be2065a77460922242aea01c1187f71c6e0ed3790c81e94a2c23ea5,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":8}",
       100,       100,         0,   301.6,tesseract,f64b425e43dd31bdbd31fdc1fece4e1eaa055a062e04cccd2bc5d7168a542370,"{""code"":""$[[72,8,8]]$"",""codeidx"":5,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":8}",
