     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     91153,       100,         0,   221.5,tesseract,4189fb560d3e4e12f771de810d5368b5743376720317072bfcd0c5843573d351,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":4}",
     16977,       100,         0,   100.8,tesseract,aa1730ba9ac77f46d7814eed97f5209d2862ab0393319a1060bfef3467a3073e,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":4}",
      2529,       102,         0,    60.8,tesseract,44ea1bcc8cea7d5a6d76ff458e87d3c64e0320a706b85dc025b808ec3e06a262,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":4}",
       373,       102,         0,    68.1,tesseract,213ef525624aca805c0466869a104d71907d49af39b476fc7a3e79160981c141,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":4}",
    232937,       100,         0,  2572.5,tesseract,04d11a24a5f469bb40ae3e93032380c6de438ef95a2a18096ff7716d0702c628,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":6}",
   2000001,        51,         0,  9105.3,tesseract,4eca418c980dd285040b68b8bc9dbfbe3b29ebed68a0824f1bdb11f2613c90fc,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":6}",
      9421,       100,         0,   470.7,tesseract,35c562796f9624ae1e8231a6cec7b89c21e58f82be4ecbe4296b3dac09b75976,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":6}",
       402,       103,         0,   189.8,tesseract,bc7be6f03846f5e23e4105e1713ad3b43cb95141f2e8195cd2a284fa6385bee3,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":6}",
   2000001,        58,         0, 14361.1,tesseract,3d72655704e31e01003b468348e7d2c49c8de51e2a81c796e156c34f3b161788,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":6}",
       121,       100,         0,   109.9,tesseract,d2061983ebe3ed08248562cde557fa6e90fcdbda23d472f084667032eb536f13,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":4}",
       100,       100,         0,    96.7,tesseract,450c4b35b065ebded1051bba6ee7994d64065cc6dcbd4192ffac610bdb05ab16,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":4}",
       100,       100,         0,   153.1,tesseract,aa96938646ff5ddcc97fd401280ecc366f97a2d39aea34ce908925789a1be300,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":4}",
       100,       100,         0,   157.6,tesseract,6ff50bc2774ed00a194e1ffa5aea6e46607ee8c490089234194b9b89488fcc47,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
       104,       100,         0,   198.1,tesseract,6cb13b3ca910598d40ec600c7a297392c5d4378d74be45d354717336d6255dc4,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":6}",
       100,       100,         0,   216.2,tesseract,f6ff5ffd7d753a2a364b4eeddf4ecc43d6a7ba4fea064b9cfe879178d872fb99,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":6}",
    139649,       100,         0,  2488.6,tesseract,fc63f673b5dd5d19ea9a26e002f9478e33bd5f16da4068d279517f5ff002583b,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":6}",
      6689,       100,         0,   578.7,tesseract,6ef0c0bf410662860e8933ddeb307a14acfca5fdd73694a7d6cd25ade650a0c2,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":6}",
       322,       100,         0,   310.2,tesseract,bc481712d6c3a09899d624d5aa2430e563547439d666dad2c397c19246b0fd98,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":6}",
