     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    288393,       100,         0,   401.9,tesseract,9bd7a667de79ec4236a626e164ea590c3ae2de162439d64d94047616d17ca8d2,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":4}",
     13201,       100,         0,    84.8,tesseract,9aa62e51dc1aed2288019bbb15e49868346c2c7b6ee5c3a1927c9703a34bab57,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":4}",
     87889,       100,         0,   246.0,tesseract,e8b3771777ce3fc4edbf402f6d5dec3dd8ba00a491e58b1f6d57019df10e593c,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":4}",
      2625,       100,         0,    61.0,tesseract,3f70cea734b1e453b1c49ef0ebc9afc286a7e6faf7f5fbfd55174a2ecb2b3c2e,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":4}",
       419,       100,         0,    67.1,tesseract,339db9917bb3d104e9018de59baea47ef1eb45d9118542eff6ff90fe78686621,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":4}",
       126,       100,         0,   116.2,tesseract,41eb2a459b7331ea2e22d21bd1843e94b54125e5e92c8b431d26f75cb5553211,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":4}",
   2000001,        64,         0, 10071.5,tesseract,30df6232094a087bc0fabc9042594a40f430ed283d87d1f9994e21aef5d0f2e4,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":6}",
    222089,       100,         0,  2666.8,tesseract,1d86f9923545f89ef13f81c29280d136ca24e4eadc7298b5d8e739fa1f9d911f,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":6}",
   2000001,         6,         0,  4968.9,tesseract,88b3e358d600599eeae80e69b90e0fbbec06512d8021a6eab460e7aaaccd27a3,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":6}",
      7061,       100,         0,   372.2,tesseract,16704110b7af77261b629cd6c83535e2326860e4b0ec0bb8f333526a3994c5e6,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":6}",
