     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    169745,       100,         0,   268.0,tesseract,c803fcaded23c3b61c15a56a798ba39feb1b924b955bb5783a75f653e60fbd36,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":4}",
      8753,       100,         0,    69.6,tesseract,1df6733b87610e7c0403c819e09561e0938e3e4d6e59707b045fc648e1b6774b,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":4}",
      1825,       101,         0,    60.5,tesseract,372ef58515982ed4363873b5107e37bf337d28f4156f96d97f2214fa3325ae5a,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":4}",
     45905,       100,         0,   144.6,tesseract,777719bcd5efef7c3da0172d65ccfaa01722832ed4e14f18be76a9cd4c251be0,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":4}",
   2000001,        19,         0,  5480.3,tesseract,4eb5df7faac77436e8560eaa67d11ce11a805833b05d9d7a6933621d911c3639,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":6}",
   1479377,       100,         0,  8139.9,tesseract,aabc5028fae0a3dc24c9311f33b1d3526cf1039d95a8568ee64c4ea7a99111bb,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":6}",
       100,       100,         0,    80.1,tesseract,b8b782f4691cc381890338d289bb9ab2ef9486d6b33c9fe9a1aaad88e61729f3,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":4}",
      6065,       100,         0,   367.1,tesseract,fd2aff4b09e75d183452c5679a059abb16f9e50d52958b047694ed4bc47008cb,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":6}",
    100105,       100,         0,  1374.7,tesseract,6b77d8cec2e4e23c513642b01b4c8f81e07ab64a69ce2c51e81c2b19478ce35b,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":6}",
       331,       103,         0,    57.9,tesseract,c4a985705fb027744c6f6842c2a61e419d14d0911ad9897fbe5c434b1a351502,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":4}",
       119,       100,         0,    84.1,tesseract,b8e35b9cfc3757b567aa7e7d8062053908e08454ae0de276e8121bf7a2d487b9,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":4}",
       381,       100,         0,   157.2,tesseract,94dbe4be40b84933dec14d050e2d57c0d1ea5ec7f3a4f318ecb2905a87daf442,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":6}",
   2000001,        27,         0,  9293.6,tesseract,5db1771f03be219c72f6b59bb36b16802049c699807cc3cc881929c4127fbb08,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":6}",
       110,       100,         0,   169.5,tesseract,e89d0d0d072a65610698931bd043abb4f82214b6cd776a38e87299b50fea88d7,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":6}",
       100,       100,         0,   158.2,tesseract,292b6f077d092270ed122e650cea8ae9b36c5ae9e565497d10c33f8643ad8a66,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
    931889,       100,         0,  8836.5,tesseract,8709948e713822f9d6b15db05e9f9c1693a34800bf5f48071753703e58b8791b,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":6}",
     88145,       100,         0,  2148.1,tesseract,bd4943b5318d0f244f47716a7bae18c609e9f2b274445a3c27d2871946a92bed,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":6}",
      5435,       100,         0,   664.9,tesseract,ec6a9152151a635aa819f06a8b603d9796b7367f7e6e174435997866314a23a2,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":6}",
       295,       100,         0,   307.5,tesseract,3ad2d0186c705768942cf9e5131ff386d49722198466225368de73a3cc2dc844,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.005933805862753281,""rounds"":6}",
       104,       100,         0,   381.6,tesseract,a0ae2a724ac4b7cd2f95080a09baf680e24faee459206abe989e300146e6d4d6,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.011006941712522098,""rounds"":6}",
       100,       100,         0,   330.4,tesseract,f11bea45d5a4d4ed5c4b9ad0daa05ef2a21400b194d33bc8cb9249b4944cf879,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
   2000001,        10,         0, 11441.4,tesseract,be40c43b0bad058d932a01f6f2e7a5af9318d4d4e71a6a2c8a989c8d1b095ff0,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0005011872336272725,""rounds"":8}",
   1785426,       100,         0, 20931.9,tesseract,8990904059bb6d29c7b185ca0784d4bee3e65a096e9970c2caa95e0edc7ada71,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0009296796685282718,""rounds"":8}",
     68777,       100,         0,  2078.2,tesseract,a170eb0e9d030ec0052e4a974bd8b5e535b42907ed5589d7dce6cf106fe7016b,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0017245137706712022,""rounds"":8}",
      3056,       100,         0,   460.8,tesseract,963fdd973a30dce6f84547b5229a1578bfb106cfca0cc7d2947eed173105e509,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.0031988951096913972,""rounds"":8}",
