     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10000,         0,         0,    22.7,tesseract,d47731cf921ab17d2096ef8ed2a3ece3cba59c17d2789251a18b0d5ced66609d,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":6}",
     10000,        18,         0,    66.9,tesseract,6410fa916a5348d6906e2dd8ba6d64aac22680161b0a28d0ca6d40ebece724b5,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":6}",
     10000,       535,         0,  1104.3,tesseract,4bf4167c9bf7f543508b8172b5657403461faf9677a04fd412f8310b6b9b0f86,"{""circidx"":2,""circuit"":""SD"",""decoder"":""tesseract"",""p"":0.004045758916974429,""rounds"":6}",
     10000,         0,         0,    35.9,tesseract,507cc7760b94579d7dd84022e71408c745c0f2466ea25fd2129d2792f168c5d7,"{""circidx"":2,""circuit"":""SD"",""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":6}",
     10000,       587,         0,   481.5,tesseract,6dcd8006593c2edeebddbe1c3145866f2f061176cd29da74576e19496d082aa8,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":0.004045758916974429,""rounds"":6}",
     10000,         0,         0,    33.1,tesseract,493d2dc162b4b303addb80b7e432907d8bf06cd12adc31efd63b63aea1a85c14,"{""circidx"":1,""circuit"":""Loop"",""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":6}",
     10000,         7,         0,   118.3,tesseract,908be530cb17334f26ac4072bf4d03b35cae8ddbbdbfb4204ab050b4c0339bf5,"{""circidx"":2,""circuit"":""SD"",""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":6}",
     10000,         6,         0,   107.4,tesseract,dad5859a792a825317d27569993d6bf1dec021963fab191ae597299115d679b2,"{""circidx"":1,""circuit"":""Loop"",""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":6}",
      1519,      1141,         0,   678.0,tesseract,0563d88d932c49937079e2c5131395e9ba6ceb44c18635824884ff0d234e398a,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":0.009088662990655878,""rounds"":6}",
      1150,      1149,         0,   777.4,tesseract,bd11660a7a843d2c5e6d830f9b70b32c1f10be6e7dc48ee50c4b6b2789ab5274,"{""circidx"":0,""circuit"":""Bare"",""decoder"":""tesseract"",""p"":0.020417379446695295,""rounds"":6}",
