     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     10000,         9,         0,    24.4,tesseract,e2e27c18e34e74ee7221d40d04b0b2fa16efb009deaee83dbe979725ee2b7d3f,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":4}",
     10000,       113,         0,    97.0,tesseract,be94479715f42e8784998d1988c2347d4846ef761ee871292e5a76892c6db81d,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":4}",
      7041,      1002,         0,   896.1,tesseract,f1f587f23c1356e9b55893599b6ec4260ccdf9552d77c72faab0ebe309b4f943,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.004045758916974429,""rounds"":4}",
     10000,         0,         0,    44.8,tesseract,a646e64e1f8d22dc72329380c03207b3a976c8be1198b2d9a56205e8b37b1c87,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":6}",
     10000,       933,         0,  3111.2,tesseract,ce26c2b6c322612f708b7d4fd7d8cc6af5bd54c0a94a42b5a532b692151ca4c6,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.004045758916974429,""rounds"":6}",
     10000,         8,         0,   197.6,tesseract,7c243b351dda7704e65cdf7dcc72efbb4d37c48a43c1b3dc4974c2880516b019,"{""code"":""$[[36,6,6]]$"",""codeidx"":1,""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":6}",
      7540,      1016,         0,  4518.8,tesseract,de8626a6dab2aa60dc3eeb781dc94d7da08fc4801331160aa3f64d7431c4bc13,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.004045758916974429,""rounds"":6}",
     10000,        19,         0,   347.1,tesseract,80fa1e24d77300f8ced256f1d154fc1cccfb0a4eea502b1497ab060bdc7ebfa9,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.0018009431344419215,""rounds"":6}",
     10000,         0,         0,    76.9,tesseract,aced82c4eb3ad2595c7cbd4d0085aa54ea9fc04570250a6bacd2421a0757f5be,"{""code"":""$[[48,8,6]]$"",""codeidx"":2,""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":6}",
      1125,      1001,         0,  1613.6,tesseract,440da1ad69f593e136d2663f6be6fbdc1aafefb42b6bdb6cc17003b7498208c4,"{""code"":""$[[30,8,4]]$"",""codeidx"":0,""decoder"":""tesseract"",""p"":0.009088662990655878,""rounds"":4}",
     10000,         1,         0,    96.8,tesseract,85851db55d5031d3ef75806fe290b19d354d016ab0229bca91d0be3bc82a9785,"{""code"":""$[[48,4,8]]$"",""codeidx"":3,""decoder"":""tesseract"",""p"":0.000801678063387679,""rounds"":8}",
